0 OPEN 
6081 RULE 9f0c0400b21c4eec2974ec0b8d19ebb9_74e0130194e3562fa649758f75f3cb4d_6dca0d061ad727648e3fa81691a062cc_f15d9af3f2bab660c13b586580a3cfd1_6dca0d061ad727648e3fa81691a062cc
6123 NODE f15d9af3f2bab660c13b586580a3cfd1_6dca0d061ad727648e3fa81691a062cc
6191 RULE 810e9f9121da2b5da54a7b43a369b33_f15d9af3f2bab660c13b586580a3cfd1_6dca0d061ad727648e3fa81691a062cc_72d1f69f6e46f2e6d662cfeb9a3910a4_6dca0d061ad727648e3fa81691a062cc
6229 NODE 72d1f69f6e46f2e6d662cfeb9a3910a4_6dca0d061ad727648e3fa81691a062cc
6309 RULE dbdc342f3d4f7725f91a0be890ef88eb_72d1f69f6e46f2e6d662cfeb9a3910a4_6dca0d061ad727648e3fa81691a062cc_302854c4c073312fe6d4cd487783071b_6dca0d061ad727648e3fa81691a062cc
6344 NODE 302854c4c073312fe6d4cd487783071b_6dca0d061ad727648e3fa81691a062cc
6415 RULE 70cc981e905ae18e1c6074578475b6a5_302854c4c073312fe6d4cd487783071b_6dca0d061ad727648e3fa81691a062cc_5ae3e630be94f7d16912b4f6a238a803_6dca0d061ad727648e3fa81691a062cc
6457 NODE 5ae3e630be94f7d16912b4f6a238a803_6dca0d061ad727648e3fa81691a062cc
6562 RULE 433cccb048ba21c7067c9a82da6e3286_5ae3e630be94f7d16912b4f6a238a803_6dca0d061ad727648e3fa81691a062cc_cc531a49ede3b647ca39158308448b00_6dca0d061ad727648e3fa81691a062cc
6608 NODE cc531a49ede3b647ca39158308448b00_6dca0d061ad727648e3fa81691a062cc
6690 RULE a53a12e87c6fc763bb9ed8bd1188ff98_cc531a49ede3b647ca39158308448b00_6dca0d061ad727648e3fa81691a062cc_6807a22b1963dba05aade3179970aa75_6dca0d061ad727648e3fa81691a062cc
6731 NODE 6807a22b1963dba05aade3179970aa75_6dca0d061ad727648e3fa81691a062cc
6813 RULE d820eb40bb79466f33bf732077f800f2_6807a22b1963dba05aade3179970aa75_6dca0d061ad727648e3fa81691a062cc_ad303c93fd9f4674ee3366c894eb0864_6dca0d061ad727648e3fa81691a062cc
6851 NODE ad303c93fd9f4674ee3366c894eb0864_6dca0d061ad727648e3fa81691a062cc
6922 RULE d0ab7024fc8aeef39a9a6d87bc3006c1_ad303c93fd9f4674ee3366c894eb0864_6dca0d061ad727648e3fa81691a062cc_76c415ca644ea0e74a77d036fd7fde01_6dca0d061ad727648e3fa81691a062cc
6957 NODE 76c415ca644ea0e74a77d036fd7fde01_6dca0d061ad727648e3fa81691a062cc
7024 RULE cea77a2f7339b0ebc29955a3edd3ade3_76c415ca644ea0e74a77d036fd7fde01_6dca0d061ad727648e3fa81691a062cc_969a07a37ddf7887778ec26843a60597_6dca0d061ad727648e3fa81691a062cc
7058 NODE 969a07a37ddf7887778ec26843a60597_6dca0d061ad727648e3fa81691a062cc
7130 RULE f85c41138feb6cfd7ae68716c9def5_969a07a37ddf7887778ec26843a60597_6dca0d061ad727648e3fa81691a062cc_7b1008c627d65b0d9440807ee8e87d66_6dca0d061ad727648e3fa81691a062cc
7164 NODE 7b1008c627d65b0d9440807ee8e87d66_6dca0d061ad727648e3fa81691a062cc
7234 RULE ce6f907eb0da38cc6618619790aacdff_7b1008c627d65b0d9440807ee8e87d66_6dca0d061ad727648e3fa81691a062cc_e0e52ef28d041cad2802b9aa42ebe334_6dca0d061ad727648e3fa81691a062cc
7276 NODE e0e52ef28d041cad2802b9aa42ebe334_6dca0d061ad727648e3fa81691a062cc
7415 RULE 9f0c0400b21c4eec2974ec0b8d19ebb9_e0e52ef28d041cad2802b9aa42ebe334_6dca0d061ad727648e3fa81691a062cc_e0cb78a6d5691301e6a45efe3a064189_6dca0d061ad727648e3fa81691a062cc
7450 NODE e0cb78a6d5691301e6a45efe3a064189_6dca0d061ad727648e3fa81691a062cc
7528 RULE 5c77170dd57aa6fc00c17ee3c7e78ccd_e0cb78a6d5691301e6a45efe3a064189_6dca0d061ad727648e3fa81691a062cc_82b96a88262822f5878cc6da4e3dd92f_6dca0d061ad727648e3fa81691a062cc
7570 NODE 82b96a88262822f5878cc6da4e3dd92f_6dca0d061ad727648e3fa81691a062cc
7642 RULE 8f01e29a73c7121737c90d629a352b5_82b96a88262822f5878cc6da4e3dd92f_6dca0d061ad727648e3fa81691a062cc_afa9944acc70cb82b2c5abad5880e1b4_6dca0d061ad727648e3fa81691a062cc
7676 NODE afa9944acc70cb82b2c5abad5880e1b4_6dca0d061ad727648e3fa81691a062cc
7817 RULE 9f0c0400b21c4eec2974ec0b8d19ebb9_afa9944acc70cb82b2c5abad5880e1b4_6dca0d061ad727648e3fa81691a062cc_a552cfc790cf899a34be7184c625073f_6dca0d061ad727648e3fa81691a062cc
7854 NODE a552cfc790cf899a34be7184c625073f_6dca0d061ad727648e3fa81691a062cc
7927 RULE a709740f8325ab198b771451043077db_a552cfc790cf899a34be7184c625073f_6dca0d061ad727648e3fa81691a062cc_ff9468014a217aab30472cc750deeb0f_6dca0d061ad727648e3fa81691a062cc
7963 NODE ff9468014a217aab30472cc750deeb0f_6dca0d061ad727648e3fa81691a062cc
